"### Downloaded by Andrew Hamilton, Aug 6, 2020, from https://www.ncdc.noaa.gov/cdo-web/datasets/GHCND/stations/GHCND:USC00311677/detail",,,,,,
STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN
USC00311677,"CHAPEL HILL 2 W, NC US",12/17/1920,0,0,50,30
USC00311677,"CHAPEL HILL 2 W, NC US",12/18/1920,0,0,48,26
USC00311677,"CHAPEL HILL 2 W, NC US",12/19/1920,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",12/20/1920,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",12/21/1920,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",12/22/1920,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",12/23/1920,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",12/24/1920,1.9,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",12/25/1920,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",12/26/1920,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",12/27/1920,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",12/28/1920,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",12/29/1920,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",12/30/1920,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",12/31/1920,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",1/1/1921,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",1/2/1921,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",1/3/1921,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",1/4/1921,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",1/5/1921,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",1/6/1921,0,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",1/7/1921,0,0,61,29
USC00311677,"CHAPEL HILL 2 W, NC US",1/8/1921,0,0,65,34
USC00311677,"CHAPEL HILL 2 W, NC US",1/9/1921,1.02,0,60,33
USC00311677,"CHAPEL HILL 2 W, NC US",1/10/1921,0.43,0,57,33
USC00311677,"CHAPEL HILL 2 W, NC US",1/11/1921,0,0,47,30
USC00311677,"CHAPEL HILL 2 W, NC US",1/12/1921,0,0,43,28
USC00311677,"CHAPEL HILL 2 W, NC US",1/13/1921,,0,33,25
USC00311677,"CHAPEL HILL 2 W, NC US",1/14/1921,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",1/15/1921,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",1/16/1921,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",1/17/1921,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",1/18/1921,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",1/19/1921,,0,,16
USC00311677,"CHAPEL HILL 2 W, NC US",1/20/1921,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",1/21/1921,,0,,
USC00311677,"CHAPEL HILL 2 W, NC US",1/22/1921,0,0,72,35
USC00311677,"CHAPEL HILL 2 W, NC US",1/23/1921,0,0,70,45
USC00311677,"CHAPEL HILL 2 W, NC US",1/24/1921,0,0,63,34
USC00311677,"CHAPEL HILL 2 W, NC US",1/25/1921,0,0,51,28
USC00311677,"CHAPEL HILL 2 W, NC US",1/26/1921,0.9,9,37,18
USC00311677,"CHAPEL HILL 2 W, NC US",1/27/1921,0.1,1,37,15
